datetime,info,latitude,longitude
2004,IED CF Other 2 CF WIA,"31,88332939","67,50054932"
2004,IED CF Other 1 CF WIA,"36,68917084","69,15444183"
2004,IED CF Other 3 CF WIA,"32,02249908","67,28500366"
2004,IED  Other,"34,39860916","68,85305786"
2004,IED  Other,"34,57860947","69,13861084"
2004,IED  Other,"32,09888077","67,02999878"
2004,IED  Other,"31,62166023","65,71555328"
2004,IED  Other,"31,61556053","65,74918365"
2004,IED  Other,"34,16165924","70,61860657"
2004,IED  Other,"33,17166138","68,78694916"
2004,IED  Other,"34,62110901","70,77278137"
2004,IED ANP Other 6 ANP KIA,"31,74165916","67,34777832"
2004,IED CIV Other 1 CIV KIA,"31,62887955","65,70749664"
2004,IED  Other,"31,62944031","65,73278046"
2004,IED  Other,"36,13277054","68,70694733"
2004,IED ANP Other 2 ANP KIA 1ANP WIA,"37,12361145","70,58972168"
2004,IED  Other,"31,87027931","67,54527283"
2004,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (UNK) CTF THUNDER : 1 CF WIA ,"33,82471848","69,60112"
2004,IED  Other,"32,96083069","65,52249908"
2004,IED CF CIV Other 2 CF WIA 1 CIV WIA,"33,75","69,79499817"
2004,IED  Other,"35,74750137","63,97972107"
2004,IED  Other,"31,58278084","64,35887909"
2004,IED  Other,"32,64527893","69,23416901"
2004,IED CIV Other 1 CIV KIA,"31,51777077","65,53778076"
2004,IED ANA Other 3 ANA WIA,"31,88110924","67,46250153"
2004,IED  Other,"34,34083176","62,21749878"
2004,IED CF Other 1 CF KIA 5 CF WIA,"32,9569397","65,45084381"
2004,IED CIV Other 5 CIV KIA,"34,90304947","71,23557281"
2004,IED  Other,"31,59137917","65,47138214"
2004,IED CIV Other 5 CIV KIA,"32,9552803","68,62333679"
2004,IED CF Other 4 CF WIA,"33,17028046","69,28221893"
2004,IED CF Other 1 CF WIA,"32,6480484","65,97389221"
2004,IED CF Other 1 CF WIA,"34,19610977","70,15139008"
2004,IED  Other,"34,3341713","62,21500015"
2004,IED  Other,"34,80056","71,11416626"
2004,IED  Other,"32,68693924","65,92054749"
2004,IED CF ANA Other 3 CF WIA 1 ANA WIA,"32,12332916","66,92861176"
